id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
132,135,0,0,1,3,2,3,0,0,5,5,65,35,16,6
133,134,1,1,2,3,1,1,0,0,9,5,34,66,14,9
134,133,1,2,3,3,4,3,0,0,6,0,50,50,13,8
135,131,1,4,3,3,4,3,0,0,3,11,31,69,8,16
136,130,1,2,3,1,0,0,0,0,4,10,35,65,9,17
137,136,3,2,3,3,1,0,0,0,3,8,45,55,14,17
138,139,2,0,3,3,0,0,0,0,10,5,47,53,11,6
139,149,0,1,3,3,2,2,0,0,2,8,33,67,3,17
140,148,3,2,3,3,1,3,0,0,1,9,36,64,11,19
141,147,1,3,3,3,3,0,0,0,5,11,22,78,11,26
142,144,1,0,2,3,1,1,0,0,10,3,47,53,19,10
143,145,1,1,2,3,4,2,0,0,6,2,44,56,14,14
144,142,2,2,3,3,5,3,0,0,5,1,62,38,13,9
145,146,3,0,3,3,1,2,0,0,6,4,40,60,17,10
146,140,2,1,3,3,1,1,0,0,3,6,40,60,13,12
147,143,1,0,3,3,2,2,0,0,9,6,61,39,16,8
148,141,2,1,3,3,2,2,0,0,3,3,36,64,11,10
149,151,2,1,3,3,4,0,0,0,8,2,64,36,14,6
150,154,3,2,3,3,2,5,0,0,5,2,58,42,16,12
151,159,0,1,3,3,1,1,0,0,8,6,47,53,11,13
152,150,3,0,3,2,2,0,0,0,9,8,62,38,15,11
153,158,1,0,2,3,3,4,0,1,14,1,71,29,24,2
154,157,1,0,3,3,1,2,0,0,11,3,63,37,20,4
155,156,4,0,3,3,2,3,0,0,4,6,47,53,8,12
156,153,0,0,3,2,2,1,0,0,6,14,41,59,9,16
157,155,3,1,3,2,0,2,0,0,8,2,61,39,17,12
158,165,0,2,3,3,3,1,0,0,7,10,50,50,7,17
159,169,7,0,3,3,1,1,0,0,6,2,64,36,31,6
160,160,2,0,3,2,2,2,0,1,5,2,57,43,21,7
161,162,0,1,3,3,2,0,0,0,7,4,59,41,12,8
162,166,2,2,3,3,2,4,0,0,4,6,59,41,9,15
163,167,1,1,3,3,2,3,0,0,7,1,80,20,23,5
164,168,3,1,3,3,1,3,0,0,11,0,74,26,23,4
165,172,1,4,3,3,3,1,0,0,1,4,51,49,9,21
166,174,0,4,3,3,1,2,0,0,3,6,27,73,5,18
167,179,0,0,2,2,0,2,0,0,4,9,37,63,4,8
168,176,2,2,3,3,4,4,0,1,6,4,43,57,10,18
169,184,6,3,1,2,1,2,0,0,14,4,71,29,17,14
170,186,0,5,3,3,1,2,0,0,3,4,34,66,4,16
171,181,2,0,3,3,1,3,0,0,6,9,50,50,15,16
172,180,1,3,3,3,3,1,0,0,2,5,42,58,8,10
173,188,2,3,3,3,2,3,0,0,10,2,56,44,11,11
174,187,3,0,3,3,1,3,0,1,4,2,59,41,17,4
175,185,1,1,3,3,3,3,0,0,2,3,30,70,13,13
176,199,1,4,3,3,0,1,0,0,4,5,43,57,14,13
177,196,1,0,3,3,0,1,0,0,1,12,36,64,6,21
178,193,3,0,3,3,1,2,0,0,8,8,51,49,19,12
179,198,1,1,2,3,4,2,1,0,3,7,35,65,9,22
180,192,1,1,3,3,4,1,0,0,10,8,47,53,11,18
181,191,0,1,3,0,0,0,0,0,3,5,24,76,6,12
182,197,3,1,3,3,0,0,0,0,7,5,58,42,18,10
183,200,1,2,3,1,5,2,1,0,5,4,32,68,6,5
184,203,2,3,3,3,0,2,0,0,9,1,62,38,22,10
185,209,0,1,3,3,0,1,0,0,3,7,26,74,6,21
186,202,2,2,2,3,1,2,0,0,6,7,56,44,15,10
187,205,3,1,2,3,2,1,0,0,9,3,55,45,22,8
188,204,2,3,2,3,1,1,0,0,8,5,49,51,17,12
189,201,2,1,3,2,2,2,0,0,3,7,45,55,10,16
190,207,0,1,3,3,3,1,0,0,3,8,51,49,9,19
191,175,4,1,3,3,0,1,0,0,5,2,49,51,12,5
192,178,2,0,2,3,0,0,0,0,11,2,62,38,13,7
193,211,1,1,3,3,0,2,0,0,9,0,64,36,19,3
194,219,3,1,3,3,2,3,0,0,2,10,41,59,9,13
195,214,1,0,2,3,0,2,0,0,9,1,56,44,11,4
196,215,1,1,2,3,3,2,0,0,4,6,52,48,12,18
197,216,2,1,3,2,3,1,0,0,8,8,40,60,14,12
198,210,2,2,3,3,1,2,0,0,3,6,55,45,13,13
199,213,3,0,3,3,0,1,0,0,9,0,68,32,27,6
200,218,2,3,3,3,3,2,0,0,4,3,48,52,15,18
201,231,1,1,3,3,1,2,0,0,5,7,43,57,10,15
