id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
247,247,1,2,2,3,2,1,0,0,2,6,59,41,12,14
248,245,5,0,3,3,1,2,0,0,11,1,60,40,20,4
249,244,2,4,2,3,2,1,0,0,6,2,62,38,10,8
250,246,1,1,3,3,2,2,0,0,6,1,51,49,13,11
251,243,0,4,3,3,1,1,0,0,4,3,41,59,7,19
252,257,1,1,1,3,1,2,0,0,11,9,52,48,16,15
253,252,2,1,3,3,0,1,0,0,4,4,61,39,11,17
254,255,0,1,3,3,0,0,0,0,3,12,41,59,11,17
255,258,2,0,3,3,1,1,0,0,9,3,51,49,15,6
256,259,0,1,3,1,1,0,0,0,4,6,29,71,12,15
257,260,2,1,3,3,1,3,0,0,7,3,65,35,13,5
258,253,1,4,3,3,1,0,0,0,2,6,32,68,7,20
259,254,1,3,3,3,3,1,1,0,8,2,44,56,18,16
260,256,2,0,3,2,1,0,0,0,9,3,59,41,29,5
261,267,3,1,3,3,0,3,0,0,3,7,55,45,19,17
262,264,1,2,3,3,0,2,0,0,2,4,61,39,14,13
263,268,2,5,2,3,2,3,0,0,6,1,39,61,13,11
264,262,2,0,3,3,0,0,0,0,11,1,64,36,21,4
265,261,6,0,3,2,0,0,0,0,9,4,52,48,24,13
266,263,1,0,3,3,0,2,0,1,14,3,69,31,27,3
267,265,0,4,3,3,2,0,0,0,5,3,41,59,11,10
268,266,0,0,3,2,4,1,0,0,5,8,59,41,15,13
269,269,1,1,3,3,2,3,0,0,13,6,58,42,19,12
270,270,1,4,3,3,1,0,0,0,3,3,25,75,8,13
271,271,2,4,3,3,0,6,2,0,2,4,71,29,8,8
272,272,4,1,3,3,1,3,0,0,4,9,46,54,11,18
273,273,0,0,3,3,0,5,0,1,2,4,48,52,9,11
274,274,1,0,3,3,2,2,0,0,4,7,39,61,7,22
275,277,2,1,3,3,3,5,0,0,5,4,47,53,13,12
276,278,1,0,3,3,2,1,0,0,2,7,32,68,13,15
277,275,1,4,2,3,2,2,0,0,9,3,45,55,18,20
278,276,1,1,3,3,1,1,0,0,5,5,33,67,9,16
279,284,3,3,3,2,1,1,0,0,6,4,57,43,15,13
280,280,3,1,3,3,0,3,0,1,11,0,70,30,25,2
281,281,2,2,3,3,2,4,0,0,2,7,42,58,12,27
282,283,3,1,3,3,1,1,0,0,2,5,50,50,13,14
283,286,2,2,2,3,2,1,0,0,4,8,47,53,12,20
284,287,2,0,3,3,0,0,0,0,3,5,54,46,8,11
285,282,1,1,3,3,2,3,1,0,5,4,39,61,10,13
286,285,0,0,2,3,1,0,0,0,7,4,50,50,13,4
287,279,6,1,3,3,0,3,0,0,1,4,81,19,17,4
288,296,3,0,2,3,1,2,0,0,4,3,41,59,11,8
289,295,0,0,3,3,0,2,0,0,1,6,35,65,10,10
290,294,0,4,3,3,0,2,0,0,1,5,48,52,12,16
291,293,0,1,3,3,3,4,0,0,1,4,64,36,19,11
292,292,3,0,3,3,0,2,0,0,5,3,57,43,18,6
293,290,3,0,10,10,0,1,0,0,5,3,57,43,18,6
