id_dato_jugador_partido,id_jugador,id_partido,titular,amarilla,roja,lesion,cambio,asistencias,goles,sustituido_por
9809,375,285,1,0,0,0,-1,1,0,-1
9810,380,285,1,0,0,0,89,0,0,379
9811,386,285,1,1,0,0,-1,0,0,-1
9812,383,285,1,0,0,0,-1,0,0,-1
9813,360,285,0,0,0,0,-1,0,0,-1
9814,369,285,0,0,0,0,-1,0,0,-1
9815,374,285,0,0,0,0,-1,0,0,-1
9816,372,285,0,0,0,0,-1,0,0,-1
9817,378,285,0,0,0,0,-1,0,0,-1
9818,382,285,0,0,0,0,-1,0,0,-1
9819,379,285,0,0,0,0,89,0,0,-1
9820,390,285,0,0,0,0,-1,0,0,-1
9821,385,285,0,0,0,0,55,0,0,-1
9822,393,282,1,0,0,0,-1,0,0,-1
9823,395,282,1,0,0,0,-1,0,0,-1
9824,403,282,1,0,0,0,-1,0,0,-1
9825,398,282,1,0,0,0,-1,0,0,-1
9826,407,282,1,0,0,0,-1,0,0,-1
9827,410,282,1,0,0,0,63,0,0,411
9828,412,282,1,0,0,0,-1,0,0,-1
9829,408,282,1,0,0,0,84,0,0,397
9830,418,282,1,0,0,0,-1,0,0,-1
9831,413,282,1,0,0,0,-1,0,0,-1
9832,414,282,1,0,0,0,-1,0,0,-1
9833,391,282,0,0,0,0,-1,0,0,-1
9834,404,282,0,0,0,0,-1,0,0,-1
9835,405,282,0,0,0,0,-1,0,0,-1
9836,397,282,0,0,0,0,84,0,0,-1
9837,400,282,0,0,0,0,-1,0,0,-1
9838,411,282,0,1,0,0,63,0,0,-1
9839,415,282,0,0,0,0,-1,0,0,-1
9840,416,282,0,0,0,0,-1,0,0,-1
9841,419,282,0,0,0,0,-1,0,0,-1
9842,33,282,1,0,0,0,-1,0,0,-1
9843,42,282,1,0,0,0,-1,0,0,-1
9844,41,282,1,0,0,0,-1,0,0,-1
9845,43,282,1,0,0,0,-1,0,0,-1
9846,37,282,1,0,0,0,-1,0,0,-1
9847,52,282,1,0,0,0,-1,0,0,-1
9848,49,282,1,0,0,0,73,0,0,54
9849,47,282,1,0,0,0,-1,0,0,-1
9850,62,282,1,0,0,0,-1,0,0,-1
9851,61,282,1,0,0,0,-1,0,0,-1
9852,60,282,1,0,0,0,76,0,0,59
9853,34,282,0,0,0,0,-1,0,0,-1
9854,39,282,0,0,0,0,-1,0,0,-1
9855,45,282,0,0,0,0,-1,0,0,-1
9856,38,282,0,0,0,0,-1,0,0,-1
9857,40,282,0,0,0,0,-1,0,0,-1
9858,55,282,0,0,0,0,-1,0,0,-1
9859,54,282,0,0,0,0,73,0,0,-1
9860,58,282,0,0,0,0,-1,0,0,-1
9861,59,282,0,0,0,0,76,0,0,-1
9862,575,286,1,0,0,0,-1,0,0,-1
9863,591,286,1,0,1,0,-1,0,0,-1
9864,589,286,1,0,0,0,-1,0,0,-1
9865,579,286,1,0,0,0,-1,0,0,-1
9866,581,286,1,0,0,0,-1,1,0,-1
9867,593,286,1,0,0,0,-1,0,0,-1
9868,595,286,1,0,0,0,-1,0,0,-1
9869,596,286,1,0,0,0,-1,0,0,-1
9870,597,286,1,0,0,0,-1,0,0,-1
9871,607,286,1,0,0,0,60,0,0,605
9872,601,286,1,1,0,0,72,0,1,592
9873,577,286,0,0,0,0,-1,0,0,-1
9874,590,286,0,0,0,0,-1,0,0,-1
9875,594,286,0,0,0,0,-1,0,0,-1
9876,592,286,0,0,0,0,72,0,0,-1
9877,605,286,0,0,0,0,60,0,0,606
9878,604,286,0,0,0,0,-1,0,0,-1
9879,600,286,0,0,0,0,-1,0,0,-1
9880,603,286,0,0,0,0,-1,0,0,-1
9881,606,286,0,0,0,0,89,0,0,-1
9882,302,286,1,0,0,0,-1,0,0,-1
9883,313,286,1,0,0,0,-1,0,0,-1
9884,307,286,1,0,0,0,-1,0,0,-1
9885,310,286,1,0,0,0,-1,0,0,-1
9886,305,286,1,0,0,0,-1,0,0,-1
9887,318,286,1,0,0,0,68,0,0,320
9888,317,286,1,0,0,0,68,0,0,319
9889,316,286,1,0,0,0,-1,0,0,-1
9890,321,286,1,0,0,0,-1,0,0,-1
9891,326,286,1,0,0,0,-1,0,0,-1
9892,322,286,1,0,0,0,82,0,0,325
9893,304,286,0,0,0,0,-1,0,0,-1
9894,312,286,0,0,0,0,-1,0,0,-1
9895,309,286,0,0,0,0,-1,0,0,-1
9896,306,286,0,0,0,0,-1,0,0,-1
9897,320,286,0,0,0,0,68,0,0,-1
9898,315,286,0,0,0,0,-1,0,0,-1
9899,319,286,0,0,0,0,68,0,0,-1
9900,325,286,0,0,0,0,82,0,0,-1
9901,327,286,0,0,0,0,-1,0,0,-1
9902,485,281,1,0,0,0,-1,0,0,-1
9903,488,281,1,0,0,0,-1,0,0,-1
9904,492,281,1,0,0,0,-1,0,0,-1
9905,489,281,1,0,0,0,-1,0,0,-1
9906,494,281,1,0,0,0,-1,0,0,-1
9907,503,281,1,0,0,0,-1,0,0,-1
9908,499,281,1,0,0,0,-1,0,0,-1
9909,502,281,1,0,0,0,-1,0,0,-1
9910,506,281,1,0,0,0,-1,0,0,-1
9911,505,281,1,0,0,0,-1,0,0,-1
9912,511,281,1,0,0,0,93,0,1,509
9913,484,281,0,0,0,0,-1,0,0,-1
9914,491,281,0,0,0,0,-1,0,0,-1
9915,495,281,0,0,0,0,-1,0,0,-1
9916,493,281,0,0,0,0,-1,0,0,-1
9917,490,281,0,0,0,0,-1,0,0,-1
9918,500,281,0,0,0,0,-1,0,0,-1
9919,501,281,0,0,0,0,-1,0,0,-1
9920,509,281,0,0,0,0,93,0,0,-1
9921,510,281,0,0,0,0,-1,0,0,-1
9922,127,281,1,0,0,0,-1,0,0,-1
9923,129,281,1,0,0,0,-1,0,0,-1
9924,130,281,1,0,0,0,-1,0,0,-1
9925,137,281,1,0,0,0,-1,0,0,-1
9926,135,281,1,1,0,0,-1,0,0,-1
9927,148,281,1,0,0,0,-1,1,0,-1
9928,149,281,1,0,0,0,-1,0,0,-1
9929,145,281,1,0,0,0,66,0,0,134
9930,142,281,1,0,0,0,77,0,0,146
9931,153,281,1,0,0,0,-1,0,0,-1
9932,154,281,1,0,0,0,66,0,1,139
9933,125,281,0,0,0,0,-1,0,0,-1
9934,139,281,0,1,0,0,66,0,0,-1
9935,133,281,0,0,0,0,-1,0,0,-1
9936,138,281,0,0,0,0,-1,0,0,-1
9937,128,281,0,0,0,0,-1,0,0,-1
9938,134,281,0,0,0,0,66,0,0,-1
9939,144,281,0,0,0,0,-1,0,0,-1
9940,146,281,0,0,0,0,77,0,0,-1
9941,151,281,0,0,0,0,-1,0,0,-1
9942,64,284,1,0,0,0,-1,0,0,-1
9943,77,284,1,0,0,0,-1,0,0,-1
9944,68,284,1,0,0,0,-1,0,0,-1
9945,69,284,1,0,0,0,-1,0,0,-1
9946,83,284,1,0,0,0,-1,0,0,-1
9947,84,284,1,0,0,0,-1,0,0,-1
9948,82,284,1,0,0,0,62,0,0,92
9949,90,284,1,0,0,0,80,0,0,87
9950,96,284,1,0,0,0,-1,0,0,-1
9951,95,284,1,0,0,0,-1,0,0,-1
9952,94,284,1,0,0,0,62,0,0,80
9953,63,284,0,0,0,0,-1,0,0,-1
9954,76,284,0,0,0,0,-1,0,0,-1
9955,78,284,0,0,0,0,-1,0,0,-1
9956,87,284,0,0,0,0,80,0,0,-1
9957,89,284,0,0,0,0,-1,0,0,-1
9958,80,284,0,0,0,0,62,0,0,-1
9959,91,284,0,0,0,0,-1,0,0,-1
9960,92,284,0,0,0,0,62,0,0,-1
9961,93,284,0,0,0,0,-1,0,0,-1
9962,97,284,1,0,0,0,-1,0,0,-1
9963,101,284,1,0,0,0,-1,0,0,-1
9964,102,284,1,0,0,0,-1,0,0,-1
9965,104,284,1,0,0,0,-1,0,0,-1
9966,108,284,1,0,0,0,-1,0,0,-1
9967,103,284,1,0,0,0,-1,0,0,-1
9968,112,284,1,0,0,0,-1,0,0,-1
9969,116,284,1,0,0,0,-1,1,0,-1
9970,114,284,1,0,0,0,81,0,1,115
9971,120,284,1,0,0,0,66,0,0,119
9972,124,284,1,0,0,0,91,0,0,113
9973,99,284,0,0,0,0,-1,0,0,-1
9974,105,284,0,0,0,0,-1,0,0,-1
9975,106,284,0,0,0,0,-1,0,0,-1
9976,107,284,0,0,0,0,-1,0,0,-1
9977,115,284,0,0,0,0,81,0,0,-1
9978,113,284,0,0,0,0,91,0,0,-1
9979,122,284,0,0,0,0,-1,0,0,-1
9980,121,284,0,0,0,0,-1,0,0,-1
9981,119,284,0,0,0,0,66,0,0,-1
9982,513,322,1,0,0,0,-1,0,0,-1
9983,524,322,1,0,0,0,-1,0,1,-1
9984,519,322,1,0,0,0,-1,0,0,-1
9985,517,322,1,0,0,0,75,0,0,520
9986,523,322,1,0,0,0,-1,0,0,-1
9987,530,322,1,1,0,0,-1,0,0,-1
9988,533,322,1,0,0,0,-1,0,0,-1
9989,534,322,1,0,0,0,64,0,0,537
9990,527,322,1,1,0,0,-1,0,0,-1
9991,539,322,1,0,0,0,71,0,0,538
9992,540,322,1,0,0,0,-1,0,0,-1
9993,514,322,0,0,0,0,-1,0,0,-1
9994,520,322,0,0,0,0,75,0,0,-1
9995,526,322,0,0,0,0,-1,0,0,-1
9996,525,322,0,0,0,0,-1,0,0,-1
9997,521,322,0,0,0,0,-1,0,0,-1
9998,531,322,0,0,0,0,-1,0,0,-1
9999,537,322,0,0,0,0,64,0,0,-1
10000,528,322,0,0,0,0,-1,0,0,-1
10001,538,322,0,0,0,0,71,0,0,-1
10002,184,322,1,0,0,0,-1,0,0,-1
10003,195,322,1,0,0,0,-1,0,0,-1
10004,187,322,1,0,0,0,-1,0,0,-1
10005,186,322,1,0,0,0,-1,0,0,-1
10006,192,322,1,0,0,0,-1,0,0,-1
10007,202,322,1,0,0,0,-1,0,0,-1
10008,203,322,1,0,0,0,75,0,0,205
10009,197,322,1,0,0,0,67,0,0,200
10010,208,322,1,0,0,0,-1,0,0,-1
10011,206,322,1,1,0,0,67,0,0,209
10012,207,322,1,0,0,0,-1,0,0,-1
10013,185,322,0,0,0,0,-1,0,0,-1
10014,189,322,0,0,0,0,-1,0,0,-1
10015,190,322,0,0,0,0,-1,0,0,-1
10016,194,322,0,0,0,0,-1,0,0,-1
10017,199,322,0,0,0,0,-1,0,0,-1
10018,200,322,0,0,0,0,67,0,0,-1
